,db_index_budynki,coordsY_budynki,coordsX_budynki,db_index,coordsY,coordsX,distances,klasyfikacja
34,4388,21.047137469133503,52.28883862325214,8442,21.04765559992603,52.29021939960569,"[0, 20.738742988799984, 19.29712669664309, 16.23774946924649, 9.184799753715264]",0
35,4429,20.93363855057466,52.22491302702029,4871,20.933747199773507,52.22443890043496,"[0, 15.924960809854628, 14.483344517697738, 3.64948495739551, 6.172765922870867]",0
36,4514,21.160693856891275,52.261745930174705,7253,21.160933300131774,52.26211939969062,"[0, 22.39945373388719, 20.957837441730295, 21.156275659610863, 16.281853533278863]",0
37,4546,21.159162584311357,52.25306449184639,6778,21.15842219962485,52.2532333001767,"[0, 21.518678779401522, 20.07706248724463, 20.818884962212163, 16.381459252902314]",0
38,4857,20.960001503380226,52.18590361709773,2433,20.959508299568427,52.18558890030755,"[0, 10.202166186229954, 8.76054989407306, 6.084827433850782, 10.438136114441702]",0
39,4991,20.938860207475177,52.18074429804207,2121,20.939272200052017,52.18040000005999,"[0, 11.950287318299761, 10.508671026142869, 5.905086784151469, 11.554238301520543]",0
40,5134,20.93722574608664,52.19687478129607,3101,20.93776669987335,52.196249999837676,"[0, 11.98142263040459, 10.539806338247695, 3.629170600919707, 9.161639885462279]",0
41,5388,20.897958211722987,52.20657556838438,3765,20.89758060036445,52.20674170036921,"[0, 15.493910998497794, 14.0522947063409, 0, 9.822250880266372]",0
42,5820,20.875686314522873,52.190204300842346,2675,20.875300000094967,52.18949439964689,"[0, 16.762623576009705, 15.32100728385281, 3.258149904616364, 12.792359690189937]",0
43,5821,20.876225110373856,52.189856304905376,2745,20.876619399965364,52.190622199854715,"[0, 16.77776583695076, 15.336149544793864, 3.103579545148845, 12.637789330722416]",0
44,5876,20.880573520504367,52.19032291904405,2758,20.880205600408203,52.19075280030154,"[0, 16.537928997032946, 15.096312704876054, 2.951593970881331, 12.485803756454901]",0
45,6114,20.870813144910084,52.18692762781702,2491,20.869805600148368,52.186474999621566,"[0, 17.251014595927092, 15.809398303770196, 3.8186074922605036, 13.352817277834076]",0
46,6303,20.886249066383215,52.18603832994238,2444,20.88693060026702,52.18604169996456,"[0, 16.223385237229877, 14.781768945072983, 3.3995417518455238, 12.930219434877712]",0
47,6316,20.885711300130286,52.18566891913199,2370,20.885225000033756,52.18478060044441,"[0, 16.486954534111824, 15.045338241954934, 3.396412172921435, 12.930621958495006]",0
48,6443,20.887064501049984,52.1960376042996,3032,20.887183299869434,52.195061099690065,"[0, 15.816859497759413, 14.37524320560252, 2.472476026517446, 12.006685812091016]",0
49,6483,20.987360960911296,52.25391555907035,6822,20.985700000154907,52.253897200395556,"[0, 15.313096181292094, 13.871479889135204, 9.338512829068017, 2.3701462874643213]",0
